,CNN_ae_False,FeedForward_ae_False,LSTM_ae_False,TCN_ae_False,TFT_ae_False,Transformer_ae_False
CNN_ae_False,1.0,6.166492765131278e-26,1.37541375241253e-33,2.337512419617444e-37,9.131252343010304e-35,1.7657033209486365e-34
FeedForward_ae_False,6.166492765131278e-26,1.0,7.863530516791095e-79,2.4978947885119312e-37,0.004585125381952744,7.075339919610114e-98
LSTM_ae_False,1.37541375241253e-33,7.863530516791095e-79,1.0,2.3412683534228107e-37,0.0005219578435421779,3.612982604243117e-05
TCN_ae_False,2.337512419617444e-37,2.4978947885119312e-37,2.3412683534228107e-37,1.0,2.314936748045709e-37,2.323453378987816e-37
TFT_ae_False,9.131252343010304e-35,0.004585125381952744,0.0005219578435421779,2.314936748045709e-37,1.0,0.05256588206956858
Transformer_ae_False,1.7657033209486365e-34,7.075339919610114e-98,3.612982604243117e-05,2.323453378987816e-37,0.05256588206956858,1.0
