,MAE,RMSE,R2,DurbinWatson,JarqueBera,JB_p,Skew,Kurtosis,LjungBox10_p
Transformer_ae_False,0.008013149157740094,0.010556444752881835,-0.26202706043849355,1.6030494427092117,826.3205908163542,3.6877677557223107e-180,-0.4582827714525157,5.422106854137812,l
LSTM_ae_False,0.00818357245676598,0.01121417797674519,-0.42419087081507345,1.4032349810784626,1149.6205158712914,2.3071553440159414e-250,-0.0036657499858849295,6.05461134514851,l
TFT_ae_False,0.007477893432392018,0.014949168195981319,-1.0447040206698417,1.0899981756434,2812905.527397887,0.0,-8.887009895123363,147.0643523195247,l
FeedForward_ae_False,0.012973591124575062,0.017997238985219356,-1.9635220425915367,0.6276550365154344,5573.892306204006,0.0,-0.766546768282279,9.277071490895013,l
CNN_ae_False,0.019831406157320694,0.03789422480457666,-15.262202446605315,0.1449962093082571,30934.677453469798,0.0,-3.35245833158227,17.3568893121635,l
TCN_ae_False,0.34088864066072366,0.6298566465716976,-4491.796440860498,0.048073827601056635,34440.02012561507,0.0,-3.0948263926408757,18.531094904096822,l
