,CNN_ae_True,FeedForward_ae_True,LSTM_ae_True,TCN_ae_True,TFT_ae_True,Transformer_ae_True
CNN_ae_True,1.0,4.083067079547255e-40,2.8828870849000212e-65,2.2575857438331683e-18,5.181415868921689e-72,1.83698119485686e-46
FeedForward_ae_True,4.083067079547255e-40,1.0,2.2789204009030772e-10,2.1149998313014317e-18,0.1375003296338409,0.26458110335138085
LSTM_ae_True,2.8828870849000212e-65,2.2789204009030772e-10,1.0,2.0782754308893093e-18,0.05403281273965075,3.89764377854266e-14
TCN_ae_True,2.2575857438331683e-18,2.1149998313014317e-18,2.0782754308893093e-18,1.0,2.076462479070587e-18,2.1090800137115634e-18
TFT_ae_True,5.181415868921689e-72,0.1375003296338409,0.05403281273965075,2.076462479070587e-18,1.0,4.030438640908687e-15
Transformer_ae_True,1.83698119485686e-46,0.26458110335138085,3.89764377854266e-14,2.1090800137115634e-18,4.030438640908687e-15,1.0
