,cnn,feedforward,lstm,temporalconvnet,temporalfusiontransformer,transformer
cnn,1.0,2.569201656911204e-35,9.683623144690613e-137,3.758776743101864e-66,1.2821308613939123e-141,2.4260961726771343e-95
feedforward,2.569201656911204e-35,1.0,2.4534949729494e-32,2.3419635336641802e-66,2.2424600279096406e-31,7.22380967326121e-19
lstm,9.683623144690613e-137,2.4534949729494e-32,1.0,1.845674346316586e-66,0.37102101093886786,7.983173462316762e-15
temporalconvnet,3.758776743101864e-66,2.3419635336641802e-66,1.845674346316586e-66,1.0,1.835031062105931e-66,2.0123734212357168e-66
temporalfusiontransformer,1.2821308613939123e-141,2.2424600279096406e-31,0.37102101093886786,1.835031062105931e-66,1.0,1.0689599026371047e-27
transformer,2.4260961726771343e-95,7.22380967326121e-19,7.983173462316762e-15,2.0123734212357168e-66,1.0689599026371047e-27,1.0
