,MAE,RMSE,R2,DurbinWatson,JarqueBera,JB_p,Skew,Kurtosis,LjungBox10_p
temporalfusiontransformer,0.007322486778006501,0.01146739767965144,-0.20316763773976598,1.8633283718972917,278874.0999206226,0.0,-3.110817105595204,48.27952999354065,l
lstm,0.010553656312117214,0.015026222127189227,-1.5570128938161973,0.7972985093922753,1301.9374130542255,1.9403624590820225e-283,-0.7769754966537243,5.855204959583079,l
transformer,0.01582040455050281,0.023828765732821597,-5.430376535097661,0.3281168101951393,2399.240883184031,0.0,1.4346192755590197,6.3526870991598665,l
cnn,0.0224120899268072,0.03901464063701547,-16.238065668415317,0.12469528206411451,14242.285692019073,0.0,-2.0674361996721897,12.924614833057662,l
feedforward,0.04610180225885009,0.07677715867136746,-52.933731201838555,0.04199854874080875,4526.902626333184,0.0,1.829575643067209,7.529900090947782,l
temporalconvnet,0.7486976640669294,1.175400876678625,-15645.072179677325,0.0341682572139632,3380.23229756199,0.0,1.701356367497135,6.982039776486542,l
