,cnn,feedforward,lstm,temporalconvnet,temporalfusiontransformer,transformer
cnn,1.0,2.5692016569112027e-35,9.683623144690612e-137,3.758776743101865e-66,1.2821308613939126e-141,2.426096172677134e-95
feedforward,2.5692016569112027e-35,1.0,2.4534949729494e-32,2.3419635336641802e-66,2.2424600279096406e-31,7.22380967326121e-19
lstm,9.683623144690612e-137,2.4534949729494e-32,1.0,1.845674346316587e-66,0.37102101093886786,7.983173462316759e-15
temporalconvnet,3.758776743101865e-66,2.3419635336641802e-66,1.845674346316587e-66,1.0,1.8350310621059311e-66,2.0123734212357174e-66
temporalfusiontransformer,1.2821308613939126e-141,2.2424600279096406e-31,0.37102101093886786,1.8350310621059311e-66,1.0,1.0689599026371047e-27
transformer,2.426096172677134e-95,7.22380967326121e-19,7.983173462316759e-15,2.0123734212357174e-66,1.0689599026371047e-27,1.0
