,MAE,RMSE,R2,DurbinWatson,JarqueBera,JB_p,Skew,Kurtosis,LjungBox10_p
lstm,0.006800851562180562,0.009596346103856344,-0.04290587675926805,1.972821031496459,1750.5363796191427,0.0,-0.3952179847279235,6.685532407757829,l
transformer,0.007686859331955563,0.010311676420256422,-0.2041812529249456,1.7040531737124156,815.966381225363,6.533585934459475e-178,0.07088489418260849,5.569544144356151,l
temporalfusiontransformer,0.00703059982982657,0.010549008126184999,-0.01816848004079019,2.2057301549134065,28103.125271961053,0.0,-0.2890734362043021,17.49744970181148,l
feedforward,0.009046344749014607,0.012651734942226702,-0.4645242388802002,1.502878955678125,7886.268807259679,0.0,0.670554087505008,10.56799864225253,l
cnn,0.011787547053556915,0.014712328774903121,-1.4512982308670153,0.8547892990103362,107.91923992058065,3.67819547391893e-24,-0.249267206918344,3.792068208965426,l
temporalconvnet,0.15455979449656282,0.2343508204379585,-620.9654571126695,0.09249732540785664,7974.068933352045,0.0,1.3743456037653081,10.560747610120925,l
