,cnn,feedforward,lstm,temporalconvnet,temporalfusiontransformer,transformer
cnn,1.0,3.8834028300821764e-83,4.2972270318435824e-44,1.794500665642173e-93,2.4014972114449098e-53,1.460968316075814e-26
feedforward,3.8834028300821764e-83,1.0,1.8710939049329647e-85,4.975061023396254e-93,1.9927893802712164e-89,4.422827988070843e-77
lstm,4.2972270318435824e-44,1.8710939049329647e-85,1.0,1.4335336233445403e-93,4.610730899305865e-56,1.4118152954348279e-39
temporalconvnet,1.794500665642173e-93,4.975061023396254e-93,1.4335336233445403e-93,1.0,1.3725618864731072e-93,1.5985517759662971e-93
temporalfusiontransformer,2.4014972114449098e-53,1.9927893802712164e-89,4.610730899305865e-56,1.3725618864731072e-93,1.0,7.439250000068216e-78
transformer,1.460968316075814e-26,4.422827988070843e-77,1.4118152954348279e-39,1.5985517759662971e-93,7.439250000068216e-78,1.0
